County,Predicted Turnout
"('wicomico', 'maryland')",0.5106760723416344
"('goodhue', 'minnesota')",0.44762614809242113
"('fond du lac', 'wisconsin')",0.4734016718218768
"('citrus', 'florida')",0.5016439223943718
"('rowan', 'north carolina')",0.5177259766989558
"('dunn', 'north dakota')",0.35471487401409924
"('coweta', 'georgia')",0.41092993314206167
"('gloucester', 'massachusetts')",0.44008846528527423
"('scott', 'virginia')",0.4446102079993098
"('walker', 'texas')",0.4071976384514343
"('barnstable', 'massachusetts')",0.3774317827235967
"('wilson', 'texas')",0.21952318512337585
"('colbert', 'alabama')",0.34049207978879437
"('okmulgee', 'oklahoma')",0.5184830492242866
"('cedar', 'nebraska')",0.37216547127436067
"('cotton', 'oklahoma')",0.4712314939434724
"('custer', 'montana')",0.5646963398560276
"('kiowa', 'oklahoma')",0.5008138903960934
"('morgan', 'indiana')",0.41692290171962193
"('mcpherson', 'kansas')",0.48954584587742705
"('huntington', 'indiana')",0.62757942691182
"('monmouth', 'new jersey')",0.5272400224845418
"('guilford', 'north carolina')",0.4511242906515339
"('pitt', 'north carolina')",0.3097208498023715
"('del norte', 'california')",0.6089155492825218
"('madison', 'georgia')",0.45389721396559424
"('escambia', 'florida')",0.3678155522163787
"('schenectady', 'new york')",0.4692780936064169
"('dillon', 'south carolina')",0.45312251252889446
"('wood', 'texas')",0.5848278447791039
"('iredell', 'north carolina')",0.503444734477299
"('georgetown', 'south carolina')",0.4602297841966885
"('norfolk', 'massachusetts')",0.42333286139034404
"('tuscaloosa', 'alabama')",0.4734016718218768
"('calhoun', 'michigan')",0.2794624202382969
"('mississippi', 'arizona')",0.47500458257805656
"('becker', 'minnesota')",0.4485279187817259
"('camden', 'georgia')",0.4111231811554844
"('spalding', 'georgia')",0.5195344031958123
"('harper', 'oklahoma')",0.4048768710767745
"('fluvanna', 'virginia')",0.5426767231439152
"('mineral', 'nevada')",0.679324894514768
"('heard', 'georgia')",0.5159365945116755
"('yolo', 'california')",0.4071976384514343
"('manitowoc', 'wisconsin')",0.38327076733524224
"('maricopa', 'alabama')",0.4879335764724141
"('hutchinson', 'south dakota')",0.4533893493811741
"('stillwater', 'montana')",0.5187693871470882
"('catoosa', 'georgia')",0.35653644512092003
"('mcleod', 'minnesota')",0.44805844044713067
"('columbus', 'north carolina')",0.42859605769783343
"('sibley', 'minnesota')",0.4045068027210884
"('elkhart', 'indiana')",0.3394391527342969
"('brown', 'wisconsin')",0.41692290171962193
"('hale', 'texas')",0.4728723318695813
