state,county,candidate,party,candidate votes,total votes
california,madera,Hillary Clinton,democrat,17029,43112
california,madera,Donald Trump,republican,23357,43112
california,madera,Other,NA,2726,43112
california,marin,Hillary Clinton,democrat,108707,139273
california,marin,Donald Trump,republican,21771,139273
california,marin,Other,NA,8795,139273
california,mariposa,Hillary Clinton,democrat,3122,8877
california,mariposa,Donald Trump,republican,5185,8877
california,mariposa,Other,NA,570,8877
california,mendocino,Hillary Clinton,democrat,22079,37477
california,mendocino,Donald Trump,republican,10888,37477
california,mendocino,Other,NA,4510,37477
california,merced,Hillary Clinton,democrat,37317,70789
california,merced,Donald Trump,republican,28725,70789
california,merced,Other,NA,4747,70789
california,modoc,Hillary Clinton,democrat,877,3788
california,modoc,Donald Trump,republican,2696,3788
california,modoc,Other,NA,215,3788
california,mono,Hillary Clinton,democrat,2773,5276
california,mono,Donald Trump,republican,2111,5276
california,mono,Other,NA,392,5276
california,monterey,Hillary Clinton,democrat,89088,133408
california,monterey,Donald Trump,republican,34895,133408
california,monterey,Other,NA,9425,133408
california,napa,Hillary Clinton,democrat,39199,61372
california,napa,Donald Trump,republican,17411,61372
california,napa,Other,NA,4762,61372
california,nevada,Hillary Clinton,democrat,26053,54935
california,nevada,Donald Trump,republican,23365,54935
california,nevada,Other,NA,5517,54935
california,orange,Hillary Clinton,democrat,609961,1197521
california,orange,Donald Trump,republican,507148,1197521
california,orange,Other,NA,80412,1197521
california,placer,Hillary Clinton,democrat,73509,182839
california,placer,Donald Trump,republican,95138,182839
california,placer,Other,NA,14192,182839
california,plumas,Hillary Clinton,democrat,3459,9676
california,plumas,Donald Trump,republican,5420,9676
california,plumas,Other,NA,797,9676
california,riverside,Hillary Clinton,democrat,373695,751391
california,riverside,Donald Trump,republican,333243,751391
california,riverside,Other,NA,44453,751391
california,sacramento,Hillary Clinton,democrat,326023,559330
california,sacramento,Donald Trump,republican,189789,559330
california,sacramento,Other,NA,43518,559330
